VendorNumber,VendorName,Brand,Volume,Description,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollar,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,ExciseTax,TotalFreight,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
105,ALTAMAR BRANDS LLC,8412,750,Tequila Ocho Plata Fresno,49.99,35.71,320,11427.2,307,15346.93,12947.41,242.0,62.39000000000001,3919.7299999999996,25.540808487430382,0.959375,1.3430175371044524
4466,AMERICAN VINTAGE BEVERAGE,5255,1750,TGI Fridays Ultimte Mudslide,12.99,9.35,6215,58110.25,6096,79187.04,51180.6,11204.0,793.9100000000003,21076.789999999994,26.616464007241582,0.9808527755430411,1.3627034817437542
4466,AMERICAN VINTAGE BEVERAGE,5215,1750,TGI Fridays Long Island Iced,12.99,9.41,4923,46325.43,4651,60416.49,41542.02,8549.0,793.9100000000003,14091.059999999998,23.323201993363067,0.9447491367052611,1.304175482019271
480,BACARDI USA INC,3348,1750,Bombay Sapphire Gin,29.99,22.38,57349,1283470.62,56888,1766391.12,460087.95,104525.0,89286.26999999999,482920.5,27.33938676050409,0.9919614988927444,1.3762614371336368
480,BACARDI USA INC,8358,750,Bacardi 151 Proof,19.99,14.49,7071,102458.79,8065,161219.35,87396.28,6353.0,89286.26999999999,58760.56000000001,36.44758523092918,1.1405741762126997,1.5735043328151739
480,BACARDI USA INC,4903,200,Bacardi Superior Rum,3.99,2.87,3300,9471.0,9964,39756.36,12895.68,2092.0,89286.26999999999,30285.36,76.17739652221682,3.0193939393939395,4.19769401330377
480,BACARDI USA INC,3782,750,Grey Goose Le Citron Vodka,23.99,18.89,7312,138123.68,7572,186388.78,120956.06,5966.0,89286.26999999999,48265.100000000006,25.89485268372914,1.035557986870897,1.349433927621969
480,BACARDI USA INC,3830,750,Grey Goose L'Orange Vodka,23.99,18.45,6120,112914.0,6400,157610.0,101188.04,5043.0,89286.26999999999,44696.0,28.358606687392935,1.0457516339869282,1.3958410825938325
480,BACARDI USA INC,2628,750,Dewars Special RSV 12-Yr,31.99,23.43,3780,88565.4,3547,112630.53,89305.95,2797.0,89286.26999999999,24065.130000000005,21.366435903302598,0.9383597883597884,1.271721575242702
480,BACARDI USA INC,4196,750,Bacardi Dragon Berry Rum,11.99,7.46,10880,81164.8,10497,120103.03,72288.03,8270.0,89286.26999999999,38938.229999999996,32.420689136652086,0.9647977941176471,1.4797428195473898
480,BACARDI USA INC,3961,750,Grey Goose La Poire Vodka,23.99,18.17,4484,81474.28,4625,113994.25,75587.9,3645.0,89286.26999999999,32519.97,28.527728372264395,1.0314451382694023,1.3991439997996915
480,BACARDI USA INC,3139,750,Grey Goose Le Melon,23.99,17.64,2211,39002.04,2220,54432.8,37964.05,1750.0,89286.26999999999,15430.760000000002,28.34827530459576,1.0040705563093624,1.3956398178146578
480,BACARDI USA INC,3016,750,Bombay Sapphire East Gin,19.99,14.59,4876,71140.84,5421,113409.79,78758.61,4273.0,89286.26999999999,42268.95,37.2709886862501,1.111771944216571,1.5941587138976712
480,BACARDI USA INC,7221,1500,M & R Sweet Vermouth,10.49,6.86,14600,100156.0,14577,152912.73,80552.71,3258.0,89286.26999999999,52756.73000000001,34.50120209089198,0.9984246575342466,1.526745576900036
480,BACARDI USA INC,4227,1750,Bacardi Superior Rum Trav,17.99,14.17,68294,967725.98,75147,1323223.53,177578.65,138074.0,89286.26999999999,355497.55000000005,26.866023913586247,1.100345564764108,1.3673535250133515
480,BACARDI USA INC,4267,1750,Bacardi Limon Rum,19.99,15.62,11630,181660.6,11043,240837.57,152710.44,20295.0,89286.26999999999,59176.97,24.571319997955467,0.9495270851246775,1.3257556674369677
480,BACARDI USA INC,3436,1750,Bombay Dry Gin,26.99,18.79,12950,243330.5,12094,312799.06,182038.84,22226.0,89286.26999999999,69468.56,22.20868566548761,0.9338996138996138,1.2854905570818291
480,BACARDI USA INC,3344,750,Bombay Sapphire Gin,19.99,14.49,23798,344833.02,24620,516761.8,236205.7,19388.0,89286.26999999999,171928.77999999997,33.27041201574883,1.0345407177073704,1.4985856052880318
480,BACARDI USA INC,2663,1750,Dewars White Label,29.99,21.42,69001,1478001.42,70122,2189368.78,495957.83,128839.0,89286.26999999999,711367.3599999999,32.49189293728761,1.0162461413602701,1.4813035700601693
480,BACARDI USA INC,3858,750,Grey Goose Vodka,23.99,17.77,138809,2466635.93,141860,3383912.4,446932.09,111699.0,89286.26999999999,917276.4699999997,27.106980369822804,1.0219798428055817,1.3718734730341822
480,BACARDI USA INC,4221,1750,Bacardi Gold Rum Traveler,17.99,12.94,9143,118310.42,11823,213320.77,93253.86,21725.0,89286.26999999999,95010.34999999999,44.538724475821084,1.2931204199934376,1.8030598657328745
480,BACARDI USA INC,4245,750,Bacardi Superior Rum,11.99,7.93,58816,466410.88,58320,643474.8,167950.57,45919.0,89286.26999999999,177063.92000000004,27.516838266238246,0.9915669205658324,1.379630766760844
480,BACARDI USA INC,3847,50,Grey Goose Vodka,3.79,2.81,22334,62758.54,21606,86207.94,31536.96,1119.0,89286.26999999999,23449.4,27.200974759401515,0.9674039580908033,1.3736447661146993
480,BACARDI USA INC,7985,1000,Noilly Prat Extra Dry Vermou,9.99,7.46,4471,33353.66,4365,43606.35,32237.73,4583.0,89286.26999999999,10252.689999999995,23.511919708941463,0.9762916573473496,1.3073932515951772
480,BACARDI USA INC,4223,1750,Bacardi Gold Rum,19.99,14.92,13236,197481.12,13505,288560.95,168313.87,24818.0,89286.26999999999,91079.83000000002,31.56346345546756,1.0203233605318827,1.4612077853315801
480,BACARDI USA INC,2672,50,Dewars White Label,2.29,1.8,23159,41686.2,22276,51012.04,16275.03,1157.0,89286.26999999999,9325.840000000004,18.281644882267017,0.9618722742778185,1.2237152822756692
480,BACARDI USA INC,4670,375,Bacardi Dragon Berry Rum,4.49,2.87,11838,33975.06,11651,57972.99,33294.53,4574.0,89286.26999999999,23997.93,41.39501861125328,0.9842034127386383,1.7063395914532602
480,BACARDI USA INC,3851,375,Grey Goose Vodka,15.99,12.02,20841,250508.82,20370,303207.3,131327.43,8003.0,89286.26999999999,52698.47999999998,17.38034671328823,0.9774003166834605,1.210365766762224
480,BACARDI USA INC,4226,750,Bacardi Superior Rum Trav,13.99,7.68,26107,200501.76,25990,300152.1,156776.33,20464.0,89286.26999999999,99650.33999999997,33.199947626553325,0.9955184433293752,1.4970048143218293
480,BACARDI USA INC,3857,1750,Grey Goose Vodka,49.99,38.27,33388,1277758.76,32945,1699669.55,589137.79,60533.0,89286.26999999999,421910.79000000004,24.823106938639928,0.9867317599137415,1.3301959675079824
480,BACARDI USA INC,4229,1750,Bacardi Black,19.99,14.7,5924,87082.8,6010,128167.9,88506.71,11047.0,89286.26999999999,41085.09999999999,32.05568633019656,1.0145172180958812,1.471793511462654
480,BACARDI USA INC,5194,1750,Bacardi Party Mai Tai,12.99,9.62,2365,22751.3,2380,34810.2,23837.85,4375.0,89286.26999999999,12058.899999999998,34.64185784626345,1.0063424947145878,1.5300312509614835
480,BACARDI USA INC,5230,1750,Bacardi Party Drinks Bahama,12.99,9.92,5047,50066.24,5047,72655.53,51046.89,9277.0,89286.26999999999,22589.29,31.09094380014846,1.0,1.4511880660500969
